Array Size,Delay (sec),CPU Temperature (C)
1,0.000000,49.00
20001,0.004473,49.00
40001,0.009935,49.00
60001,0.015052,49.00
80001,0.018791,49.00
100001,0.016264,49.00
120001,0.015160,49.00
140001,0.017776,49.00
160001,0.020291,49.00
180001,0.022757,49.00
200001,0.025931,49.00
220001,0.028602,49.00
240001,0.031571,49.00
260001,0.035710,49.00
280001,0.036209,49.00
300001,0.040145,49.00
320001,0.042259,49.00
340001,0.047353,49.00
360001,0.049820,49.00
380001,0.052185,49.00
400001,0.054965,49.00
420001,0.056039,49.00
440001,0.059466,49.00
460001,0.061490,49.00
480001,0.089881,49.00
500001,0.067331,49.00
520001,0.069541,49.00
540001,0.073056,49.00
560001,0.076146,49.00
580001,0.079047,49.00
600001,0.081683,49.00
620001,0.084800,49.00
640001,0.086916,49.00
660001,0.090118,49.00
680001,0.092976,49.00
700001,0.096251,49.00
720001,0.098896,49.00
740001,0.101721,49.00
760001,0.104579,49.00
780001,0.107037,49.00
800001,0.109426,49.00
820001,0.113584,49.00
840001,0.116949,49.00
860001,0.119345,49.00
880001,0.122482,49.00
900001,0.137191,49.00
920001,0.142149,49.00
940001,0.130666,49.00
960001,0.133649,49.00
980001,0.136864,49.00
1000001,0.139294,49.00
1020001,0.141953,49.00
1040001,0.144734,49.00
1060001,0.148056,49.00
1080001,0.152230,49.00
1100001,0.155307,49.00
1120001,0.158558,49.00
1140001,0.161949,49.00
1160001,0.164145,49.00
1180001,0.167701,49.00
1200001,0.170279,52.00
1220001,0.178059,52.00
1240001,0.176671,52.00
1260001,0.201948,52.00
1280001,0.181009,52.00
1300001,0.184298,52.00
1320001,0.187795,52.00
1340001,0.190641,52.00
1360001,0.193761,52.00
1380001,0.196620,52.00
1400001,0.200095,52.00
1420001,0.203603,52.00
1440001,0.209548,52.00
1460001,0.209040,52.00
1480001,0.211589,52.00
1500001,0.216354,52.00
1520001,0.218312,52.00
1540001,0.220074,52.00
1560001,0.222650,52.00
1580001,0.226683,52.00
1600001,0.230482,52.00
1620001,0.232496,52.00
1640001,0.235796,52.00
1660001,0.239184,52.00
1680001,0.242293,52.00
1700001,0.244298,52.00
1720001,0.247344,52.00
1740001,0.249795,52.00
1760001,0.256326,52.00
1780001,0.257453,52.00
1800001,0.258569,52.00
1820001,0.262743,52.00
1840001,0.266322,52.00
1860001,0.268096,52.00
1880001,0.270953,52.00
1900001,0.275123,52.00
1920001,0.277414,52.00
1940001,0.281057,52.00
1960001,0.285242,52.00
1980001,0.287950,52.00
2000001,0.290104,52.00
2020001,0.293653,52.00
2040001,0.337371,52.00
2060001,0.301196,52.00
2080001,0.302344,52.00
2100001,0.305497,52.00
2120001,0.309909,52.00
2140001,0.312336,52.00
2160001,0.316267,52.00
2180001,0.350947,52.00
2200001,0.323259,52.00
2220001,0.325700,52.00
2240001,0.329540,52.00
2260001,0.332469,52.00
2280001,0.335471,52.00
2300001,0.338799,52.00
2320001,0.341371,52.00
2340001,0.344271,52.00
2360001,0.346565,52.00
2380001,0.351189,52.00
2400001,0.353647,59.00
2420001,0.356467,59.00
2440001,0.361675,59.00
2460001,0.364038,59.00
2480001,0.366476,59.00
2500001,0.370208,59.00
2520001,0.372063,59.00
2540001,0.390545,59.00
2560001,0.391122,59.00
2580001,0.408967,59.00
2600001,0.388959,59.00
2620001,0.387723,59.00
2640001,0.392644,59.00
2660001,0.395840,59.00
2680001,0.400019,59.00
2700001,0.402542,59.00
2720001,0.406419,59.00
2740001,0.411015,59.00
2760001,0.412436,59.00
2780001,0.414301,59.00
2800001,0.418987,59.00
2820001,0.422707,59.00
2840001,0.424259,59.00
2860001,0.424897,59.00
2880001,0.428867,59.00
2900001,0.431944,59.00
2920001,0.435550,59.00
2940001,0.438210,59.00
2960001,0.441095,59.00
2980001,0.444238,59.00
3000001,0.446601,59.00
3020001,0.449838,59.00
3040001,0.476374,59.00
3060001,0.455889,59.00
3080001,0.459219,59.00
3100001,0.463311,59.00
3120001,0.490319,59.00
3140001,0.469888,59.00
3160001,0.470615,60.00
3180001,0.473555,60.00
3200001,0.477430,60.00
3220001,0.480760,60.00
3240001,0.486004,60.00
3260001,0.488661,60.00
3280001,0.500406,60.00
3300001,0.497018,60.00
3320001,0.500853,60.00
3340001,0.502285,60.00
3360001,0.505887,60.00
3380001,0.507247,60.00
3400001,0.511967,60.00
3420001,0.538556,60.00
3440001,0.517227,60.00
3460001,0.522939,60.00
3480001,0.539281,60.00
3500001,0.529152,60.00
3520001,0.529177,60.00
3540001,0.532719,60.00
3560001,0.536697,60.00
3580001,0.539715,60.00
3600001,0.542919,60.00
3620001,0.544831,60.00
3640001,0.550688,60.00
3660001,0.552242,60.00
3680001,0.552483,60.00
3700001,0.558161,60.00
3720001,0.562796,60.00
3740001,0.576109,60.00
3760001,0.571184,63.00
3780001,0.616377,63.00
3800001,0.576772,63.00
3820001,0.578389,63.00
3840001,0.587707,63.00
3860001,0.585163,63.00
3880001,0.591797,63.00
3900001,0.594598,63.00
3920001,0.599809,63.00
3940001,0.600648,63.00
3960001,0.602773,63.00
3980001,0.605497,63.00
