Array Size,Delay (sec),CPU Temperature (C)
1,0.000000,49.00
20001,0.002278,49.00
40001,0.005453,49.00
60001,0.009425,49.00
80001,0.015302,49.00
100001,0.017824,49.00
120001,0.017458,49.00
140001,0.021326,49.00
160001,0.023287,49.00
180001,0.026998,49.00
200001,0.030663,49.00
220001,0.032251,49.00
240001,0.034398,49.00
260001,0.039170,49.00
280001,0.042788,49.00
300001,0.042269,49.00
320001,0.043954,49.00
340001,0.047309,49.00
360001,0.058175,49.00
380001,0.059252,49.00
400001,0.060845,49.00
420001,0.064914,49.00
440001,0.069372,49.00
460001,0.072430,49.00
480001,0.072521,89.00
500001,0.076086,89.00
520001,0.074243,89.00
540001,0.080321,89.00
560001,0.080775,89.00
580001,0.083192,89.00
600001,0.086479,89.00
620001,0.091644,89.00
640001,0.089690,89.00
660001,0.092241,89.00
680001,0.095795,89.00
700001,0.101353,91.00
720001,0.103197,91.00
740001,0.107332,91.00
760001,0.110836,91.00
780001,0.112032,91.00
800001,0.117630,91.00
820001,0.118697,91.00
840001,0.127379,91.00
860001,0.124510,91.00
880001,0.128892,91.00
900001,0.136190,91.00
920001,0.135197,91.00
940001,0.136732,91.00
960001,0.139936,91.00
980001,0.143278,91.00
1000001,0.149749,91.00
1020001,0.150519,91.00
1040001,0.157961,91.00
1060001,0.161423,91.00
1080001,0.168700,91.00
1100001,0.166937,91.00
1120001,0.165802,91.00
1140001,0.171487,91.00
1160001,0.172441,91.00
1180001,0.175354,91.00
1200001,0.178060,91.00
1220001,0.181057,91.00
1240001,0.184170,91.00
1260001,0.188888,91.00
1280001,0.192294,91.00
1300001,0.193238,91.00
1320001,0.195114,91.00
1340001,0.197527,91.00
1360001,0.201431,91.00
1380001,0.206933,91.00
1400001,0.209074,91.00
1420001,0.212229,91.00
1440001,0.648887,92.00
1460001,0.487941,92.00
1480001,0.218554,54.00
1500001,0.223058,54.00
1520001,0.234403,54.00
1540001,0.238423,89.00
1560001,0.233967,89.00
1580001,0.245618,89.00
1600001,0.238845,89.00
1620001,0.254310,91.00
1640001,0.247472,91.00
1660001,0.260441,91.00
1680001,0.259226,91.00
1700001,0.853547,92.00
1720001,0.404391,55.00
1740001,0.260699,55.00
