Array Size,Delay (sec),CPU Temperature (C)
1,0.000000,43.00
20001,0.002764,43.00
40001,0.005678,43.00
60001,0.008870,43.00
80001,0.011700,43.00
100001,0.014658,43.00
120001,0.017943,43.00
140001,0.021193,43.00
160001,0.024262,43.00
180001,0.027503,43.00
200001,0.030764,43.00
220001,0.034192,43.00
240001,0.037571,43.00
260001,0.040830,43.00
280001,0.044615,43.00
300001,0.047519,53.00
320001,0.050668,53.00
340001,0.054088,53.00
360001,0.057296,53.00
380001,0.060881,53.00
400001,0.064205,53.00
420001,0.068009,53.00
440001,0.071537,53.00
460001,0.074327,53.00
480001,0.078403,53.00
500001,0.081361,53.00
520001,0.084463,53.00
540001,0.088857,53.00
560001,0.092040,53.00
580001,0.094936,61.00
600001,0.098252,61.00
620001,0.102098,61.00
640001,0.105104,61.00
660001,0.108431,61.00
680001,0.112474,61.00
700001,0.115905,61.00
720001,0.118967,61.00
740001,0.123070,61.00
760001,0.126138,62.00
780001,0.129053,62.00
800001,0.133207,62.00
820001,0.137507,62.00
840001,0.141529,62.00
860001,0.145059,62.00
880001,0.148573,62.00
900001,0.151745,62.00
920001,0.155023,62.00
940001,0.159147,62.00
960001,0.163523,62.00
980001,0.167130,62.00
1000001,0.170270,62.00
1020001,0.173757,62.00
1040001,0.177032,62.00
1060001,0.181765,62.00
1080001,0.185825,62.00
1100001,0.189097,62.00
1120001,0.192394,62.00
1140001,0.195846,62.00
1160001,0.198981,62.00
1180001,0.201638,62.00
1200001,0.205806,62.00
1220001,0.209806,62.00
1240001,0.213365,62.00
1260001,0.217172,62.00
1280001,0.220004,62.00
1300001,0.222835,62.00
1320001,0.226578,62.00
1340001,0.230946,62.00
1360001,0.234586,62.00
1380001,0.238727,62.00
1400001,0.242410,62.00
1420001,0.246451,62.00
1440001,0.249422,62.00
1460001,0.253084,62.00
1480001,0.256984,62.00
1500001,0.260814,62.00
1520001,0.264413,62.00
1540001,0.266942,62.00
1560001,0.270419,62.00
1580001,0.273801,62.00
1600001,0.277829,62.00
1620001,0.282486,62.00
1640001,0.286962,62.00
1660001,0.291248,62.00
1680001,0.294971,62.00
1700001,0.298962,62.00
1720001,0.303095,62.00
1740001,0.306439,62.00
1760001,0.310114,62.00
1780001,0.313791,62.00
1800001,0.316956,62.00
1820001,0.319837,62.00
1840001,0.323875,62.00
1860001,0.327688,62.00
1880001,0.332372,62.00
1900001,0.336831,62.00
1920001,0.340345,63.00
1940001,0.344395,63.00
1960001,0.348279,63.00
1980001,0.352179,63.00
2000001,0.355778,63.00
2020001,0.359450,63.00
2040001,0.362769,63.00
2060001,0.366309,63.00
2080001,0.369079,63.00
2100001,0.372357,63.00
2120001,0.378251,63.00
2140001,0.383189,63.00
2160001,0.386732,63.00
2180001,0.391146,63.00
2200001,0.394609,63.00
2220001,0.398188,63.00
2240001,0.401783,63.00
2260001,0.405466,63.00
2280001,0.409156,63.00
2300001,0.412007,63.00
2320001,0.414814,63.00
2340001,0.417346,63.00
2360001,0.420437,63.00
2380001,0.425295,63.00
2400001,0.429089,63.00
2420001,0.434298,63.00
